p_underdog,proportion_mu_high_to_admit,frequency_high_mu,frequency_high_sigma,mean_to_std_diff_ratio,game_value,over_q1,over_q2,over_q3,over_q4,under_q1,under_q2,under_q3,under_q4
0.4,9,0.4,0.25,0.1,0.5521824802366523,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.2,0.5672322997802186,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.3,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.4,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.5,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.6,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.7,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.8,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,9,0.4,0.25,0.9,0.5821971443403605,3,6,0,1,11,0,0,0
0.4,14,0.4,0.25,0.1,0.5161607488910329,5,9,0,2,12,0,0,4
0.4,14,0.4,0.25,0.2,0.5244706060439536,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.3,0.5330524080807973,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.4,0.5419197263980003,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.5,0.5510870507080259,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.6,0.5605698680488694,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.7,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.8,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,14,0.4,0.25,0.9,0.5638450918570584,5,9,0,2,12,0,0,5
0.4,19,0.4,0.25,0.1,0.5114961133665011,6,15,1,2,10,16,0,0
0.4,19,0.4,0.25,0.2,0.517177723550638,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.3,0.522255463916064,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.4,0.5241666666142071,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.5,0.5248132710512411,7,14,1,2,12,14,0,0
0.4,19,0.4,0.25,0.6,0.5328996032937903,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.7,0.5399169123706566,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.8,0.54367210326937,7,12,1,2,12,0,11,0
0.4,19,0.4,0.25,0.9,0.54367210326937,7,12,1,2,12,0,11,0
0.4,24,0.4,0.25,0.1,0.5080973124837863,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.2,0.5082464690743175,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.3,0.5085785141109409,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.4,0.5084683479880379,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.5,0.5084250372172276,10,29,0,0,12,35,0,0
0.4,24,0.4,0.25,0.6,0.5145775223887885,10,18,0,0,12,0,18,0
0.4,24,0.4,0.25,0.7,0.520267547208824,10,18,0,0,12,0,18,0
0.4,24,0.4,0.25,0.8,0.5241414820848115,10,18,0,0,12,0,18,0
0.4,24,0.4,0.25,0.9,0.5241414820848115,10,18,0,0,12,0,18,0
0.4,28,0.4,0.25,0.1,0.50071788270443,12,35,0,0,12,36,0,8
0.4,28,0.4,0.25,0.2,0.5006659554306085,12,35,0,0,12,36,0,8
0.4,28,0.4,0.25,0.3,0.5006092909121511,12,35,0,0,12,36,0,8
0.4,28,0.4,0.25,0.4,0.5005472099088218,12,35,0,0,12,36,0,8
0.4,28,0.4,0.25,0.5,0.4992986372710131,12,31,0,0,12,29,11,0
0.4,28,0.4,0.25,0.6,0.5003451669012993,12,27,0,0,12,21,12,0
0.4,28,0.4,0.25,0.7,0.507315035730947,12,23,0,0,12,8,18,0
0.4,28,0.4,0.25,0.8,0.5122562790071787,12,23,0,0,12,8,18,0
0.4,28,0.4,0.25,0.9,0.5128777169927495,12,21,0,0,12,0,18,5
0.4,33,0.4,0.25,0.1,0.5008522664862368,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.2,0.5007927477186481,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.3,0.5007274323200626,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.4,0.5004686356819532,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.5,0.5004071969185431,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.6,0.5030658922511871,12,35,1,4,12,36,13,0
0.4,33,0.4,0.25,0.7,0.507866780905599,12,27,2,4,12,20,18,0
0.4,33,0.4,0.25,0.8,0.5113271320131832,12,27,2,4,12,20,18,0
0.4,33,0.4,0.25,0.9,0.5158969653497033,12,27,2,4,12,20,18,0
0.4,38,0.4,0.25,0.1,0.5009788018505794,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.2,0.5009117922907141,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.3,0.5010634038857014,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.4,0.5022962520637053,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.5,0.5045753412806931,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.6,0.5056340011744069,12,35,3,8,12,36,18,2
0.4,38,0.4,0.25,0.7,0.508540465169013,12,35,3,8,12,36,18,2
